      NO              DATA              UNIT           TIME  
    551               27.0                 C           05-17-12/14:06:32  
    552               25.8                 C           05-17-12/14:06:32  
    553               25.3                 C           05-17-12/14:06:33  
    554               23.0                 C           05-17-12/14:06:33  
    555               23.5                 C           05-17-12/14:06:34  
    556               25.5                 C           05-17-12/14:06:34  
    557               27.5                 C           05-17-12/14:06:35  
    558               26.5                 C           05-17-12/14:06:35  
    559               26.5                 C           05-17-12/14:06:36  
    560               27.6                 C           05-17-12/14:06:36  
    561               28.3                 C           05-17-12/14:06:37  
    562               24.0                 C           05-17-12/14:06:37  
    563               24.0                 C           05-17-12/14:06:38  
    564               24.3                 C           05-17-12/14:06:38  
    565               23.5                 C           05-17-12/14:06:39  
    566               23.5                 C           05-17-12/14:06:39  
    567               23.5                 C           05-17-12/14:06:40  
    568               23.2                 C           05-17-12/14:06:40  
    569               23.2                 C           05-17-12/14:06:40  
    570               23.2                 C           05-17-12/14:06:41  
    571               23.2                 C           05-17-12/14:06:41  
    572               23.2                 C           05-17-12/14:06:42  
    573               23.2                 C           05-17-12/14:06:42  
    574               23.2                 C           05-17-12/14:06:43  
    575               23.2                 C           05-17-12/14:06:43  
    576               23.2                 C           05-17-12/14:06:44  
    577               23.2                 C           05-17-12/14:06:44  
    578               23.2                 C           05-17-12/14:06:45  
    579               23.2                 C           05-17-12/14:06:45  
    580               23.2                 C           05-17-12/14:06:46  
    581               23.2                 C           05-17-12/14:06:46  
    582               23.0                 C           05-17-12/14:06:47  
    583               23.0                 C           05-17-12/14:06:47  
    584               23.0                 C           05-17-12/14:06:48  
    585               23.0                 C           05-17-12/14:06:48  
    586               23.0                 C           05-17-12/14:06:48  
    587               23.0                 C           05-17-12/14:06:49  
    588               23.0                 C           05-17-12/14:06:49  
    589               23.0                 C           05-17-12/14:06:50  
    590               23.0                 C           05-17-12/14:06:50  
    591               23.0                 C           05-17-12/14:06:51  
    592               23.0                 C           05-17-12/14:06:51  
    593               23.0                 C           05-17-12/14:06:52  
    594               23.0                 C           05-17-12/14:06:52  
    595               23.0                 C           05-17-12/14:06:53  
    596               23.0                 C           05-17-12/14:06:53  
    597               23.0                 C           05-17-12/14:06:54  
    598               23.0                 C           05-17-12/14:06:54  
    599               23.0                 C           05-17-12/14:06:55  
    600               23.0                 C           05-17-12/14:06:55  
    601               23.0                 C           05-17-12/14:06:56  
    602               23.0                 C           05-17-12/14:06:56  
    603               23.0                 C           05-17-12/14:06:57  
